Date,Product,Category,Region,Sales,Units,Profit
2023-01-15,Laptop,Electronics,North,2450.99,5,735.30
2023-01-22,Monitor,Electronics,South,1875.50,10,562.65
2023-01-30,Keyboard,Accessories,East,450.75,15,180.30
2023-02-05,Mouse,Accessories,West,225.50,25,90.20
2023-02-12,Headphones,Audio,North,875.25,7,350.10
2023-02-19,Speakers,Audio,South,1250.00,5,500.00
2023-02-26,Tablet,Electronics,East,1650.75,3,495.23
2023-03-05,Smartphone,Electronics,West,3250.00,6,975.00
2023-03-12,Charger,Accessories,North,187.50,25,75.00
2023-03-19,Webcam,Accessories,South,375.25,10,150.10
2023-03-26,Microphone,Audio,East,625.50,5,250.20
2023-04-02,Printer,Electronics,West,950.75,3,285.23
2023-04-09,Scanner,Electronics,North,875.25,2,262.58
2023-04-16,Router,Networking,South,425.50,8,170.20
2023-04-23,Switch,Networking,East,350.75,7,140.30
2023-04-30,Server,Networking,West,5250.00,1,1575.00
2023-05-07,Cable,Accessories,North,125.50,50,50.20
2023-05-14,Dock,Accessories,South,450.75,12,180.30
2023-05-21,Monitor,Electronics,East,1875.50,10,562.65
2023-05-28,Laptop,Electronics,West,2450.99,5,735.30 
