Month,Category,Region,Sales,Profit
Jan,Electronics,North,12500,3750
Jan,Clothing,North,8200,2460
Jan,Home,North,6300,1890
Jan,Electronics,South,9800,2940
Jan,Clothing,South,7400,2220
Jan,Home,South,5100,1530
Feb,Electronics,North,13200,3960
Feb,Clothing,North,7900,2370
Feb,Home,North,6700,2010
Feb,Electronics,South,10400,3120
Feb,Clothing,South,8100,2430
Feb,Home,South,5600,1680
Mar,Electronics,North,14100,4230
Mar,Clothing,North,8500,2550
Mar,Home,North,7200,2160
Mar,Electronics,South,11200,3360
Mar,Clothing,South,8900,2670
Mar,Home,South,6200,1860
Apr,Electronics,North,15300,4590
Apr,Clothing,North,9200,2760
Apr,Home,North,7800,2340
Apr,Electronics,South,12100,3630
Apr,Clothing,South,9600,2880
Apr,Home,South,6800,2040
May,Electronics,North,16500,4950
May,Clothing,North,9900,2970
May,Home,North,8400,2520
May,Electronics,South,13000,3900
May,Clothing,South,10300,3090
May,Home,South,7300,2190
Jun,Electronics,North,17800,5340
Jun,Clothing,North,10700,3210
Jun,Home,North,9100,2730
Jun,Electronics,South,14200,4260
Jun,Clothing,South,11200,3360
Jun,Home,South,8000,2400 
